序号,纳入口径,企业代码,企业中文名,企业英文名,身份,合作伙伴等级,行业一级分类,展位号,展馆,展厅或区域,展馆代码,展厅或区域代码,官方目录 URL,快照日期
235,参展企业,7ac2f123e6294ca3b018b1b5d4e7285e,爱客易智能科技（上海）有限公司,"Aikeee Intelligent Technology (Shanghai) Co., Ltd.",展商,FT初创项目,核心技术,H4-FT C047,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
236,参展企业,24ef43150f6144fa9f6acc9868c11b93,物自体（上海）科技有限公司,"Noumena (Shanghai) Technology Co., Ltd",展商,FT初创项目,核心技术,H4-FT C024,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
237,参展企业,cd7a8b6e3b43450b88ed975b004b4595,现实回环（深圳）科技有限公司,"Reality Loop (Shenzhen) Technology Co., Ltd.",展商,FT初创项目,具身智能,H4-FT D009,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
238,参展企业,c6cb3a9196b94bb0a252b638dd8e1467,甄觉科技（上海）有限公司,Zhenjue Technology,展商,FT初创项目,工业互联与智能制造,H4-FT B303,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
239,参展企业,395015bdd6f4435db9d24ad0de463eb5,第一推力创新（北京）智能科技有限公司,"FirstmoveAI Innovation (Beijing) Intelligent Technology Co., Ltd.",展商,FT初创项目,具身智能,H4-FT B106,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
240,参展企业,5c492cf5c9dc4824bce93ebebb481e8b,箔光（上海）科技有限公司,"Blinkko Labs, Inc.",展商,FT初创项目,具身智能,H4-FT B011,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
241,参展企业,8d24d917a451479b93f4d85f170b9ea8,米塔视界（北京）科技有限公司,"MeetaVista (Beijing) Technology Co., Ltd.",展商,FT初创项目,智能终端,H4-FT B209,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
242,参展企业,8479e650efff4628943edb3b91224a3b,脑控空间,Mind Space,展商,FT初创项目,智能终端,H4-FT B311,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
243,参展企业,c1d63c715f4a4dbb925423af0c58034a,艾欧智能（深圳）有限公司,IO-AI TECH,展商,FT初创项目,具身智能,H4-FT B109,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
244,参展企业,a9da40ce8d61432d80ac3a4ed7cbda7d,苏州周期智能科技有限公司,"Suzhou BatteryX Technology Co., Ltd ",展商,FT初创项目,核心技术,H4-FT D015,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
245,参展企业,ce6dca22825349fea321124a38b85a30,苏州拉普拉斯人工智能科技有限公司,"Suzhou Laplace Artificial Intelligence Technology Co., Ltd.",展商,FT初创项目,核心技术,H4-FT C038,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
246,参展企业,ddecbfda20b04e24bb0fc8f8a256b583,苏州纬钛科技有限公司,"SUZHOU VITAI TECHONLOGY CO., LTD.",展商,FT初创项目,具身智能,H4-FT B201,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
247,参展企业,7b60c8a1cff546cbb65388cf61c797c2,荆华密算（北京）科技有限公司,Jinghuamisuan Tech Limited,展商,FT初创项目,核心技术,H4-FT A008,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
248,参展企业,a2b237d32b684253ac7f31e0ea0ecc81,记忆张量（上海）科技有限公司,"MemTensor (Shanghai) Technology Co., Ltd","展商,论坛主办方",FT初创项目,核心技术,H4-FT A015,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
249,参展企业,a2b237d32b684253ac7f31e0ea0ecc81,记忆张量（上海）科技有限公司,"MemTensor (Shanghai) Technology Co., Ltd","展商,论坛主办方",FT初创项目,核心技术,H4-017,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
250,参展企业,81ee7d7aaa0244c7aeff66156be4f0cd,语核（上海）科技有限公司,"LangCore (Shanghai) Technology Co., Ltd",展商,FT初创项目,核心技术,H4H4-FT A010,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
251,参展企业,cfe2f49983464f1fa873ff824da3e4d7,邁康數智科技（香港）有限公司,Meddcom Technology (HK) Limited,展商,FT初创项目,智慧医疗,H4-FT C003,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
252,参展企业,665b21d297cd4473ab181ce9b5e1649f,银河启辰（成都）健康医疗机器人有限责任公司,"Galbot Qichen (Chengdu) Medical Robotics Co., Ltd.",展商,FT初创项目,具身智能,H4-FT C014,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
253,参展企业,6ad6223ca0cd493abeb93a5693e0bdff,零零后（北京）科技有限公司,AfterZero,展商,FT初创项目,具身智能,H4-FT B312,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
254,参展企业,144e822c7213419d83028dafc2e120c3,靈迅有限公司,iEarth,展商,FT初创项目,智慧城市,H4-FT D008,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
255,参展企业,166833fdd8ba4d2c9b5665e8f8cdf4eb,Aezia,Aezia,展商,OPC创业项目,建筑业,H4-FT O004,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
256,参展企业,3db5a2c3bbd34ce7bba3df3a0325d2d3,CORVIA AI,Corvia AI,展商,OPC创业项目,核心技术,ZT-004,世博展览馆,世博展览馆中厅,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_4,https://www.worldaic.com.cn/exhibitors,2026-07-18
257,参展企业,2fd083f35a534d55b0863fe1e4b7588a,GitStudy,GitStudy,展商,OPC创业项目,人才与教育,ZT-007,世博展览馆,世博展览馆中厅,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_4,https://www.worldaic.com.cn/exhibitors,2026-07-18
258,参展企业,7e64c570417c4488bd4be9f48e861507,Sonicite,Sonicite,展商,OPC创业项目,文娱艺术与元宇宙,H4-FT O005,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
259,参展企业,3ef16a2bdd8a40fb84ae9eab267d765a,TideFlow睡眠健康,TideFlow Sleep,展商,OPC创业项目,智慧医疗,ZT-005,世博展览馆,世博展览馆中厅,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_4,https://www.worldaic.com.cn/exhibitors,2026-07-18
260,参展企业,0ae88f05ca8a4b93ae34ffbf50dc98f8,上海爱予慧科技有限责任公司,"Shanghai Aiyuhui Technology Co., Ltd.",展商,OPC创业项目,智能终端,H4-FT O001,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
261,参展企业,52a68dab07a1431a88292ea987c92948,上海生声不息科技有限公司,"EverSonic Technology (Shanghai) Co., Ltd.",展商,OPC创业项目,核心技术,H4-FT O008,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
262,参展企业,5b2ea2a4ec6a44149f143992c4173b71,上海葱花投研智能科技有限公司,"Shanghai Chopinsight  Intelligence Technoloy Co., Ltd.",展商,OPC创业项目,金融科技,ZT-001,世博展览馆,世博展览馆中厅,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_4,https://www.worldaic.com.cn/exhibitors,2026-07-18
263,参展企业,b1d33e8a71324b22affbfca9e8dbfde1,上海锐鸥阁霖信息科技有限公司,"Shanghai Real-Green Information Technology Co., Ltd.",展商,OPC创业项目,金融科技,H4-FT O014,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
264,参展企业,8a55760f46684f6b92c1cb22a3d081c0,北京创域认知科技有限公司,"Beijing Chuangyu Cognitive Technology Co., Ltd.",展商,OPC创业项目,核心技术,H4-FT O011,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
265,参展企业,9b5d87628c46405f866372f4237ae5a5,北京芯辰启源科技有限公司,"Beijing Xinchen Qiyuan Technology Co., Ltd.",展商,OPC创业项目,核心技术,H4-FT O002,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
266,参展企业,4e095da907fd46519dead397ce701855,寻村,VillageSeek,展商,OPC创业项目,核心技术,H4-FT O006,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
267,参展企业,4b21115a91024c56bcf7d9d0a40f9ca6,尚雅之都（北京）商贸有限公司,fortunetell ai,展商,OPC创业项目,文娱艺术与元宇宙,H4-FT O009,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
268,参展企业,31bc83d7396142c68e9300695284d74d,杭州光见科技有限责任公司,"Hangzhou Guangjian Technology Co., Ltd.",展商,OPC创业项目,核心技术,ZT-003,世博展览馆,世博展览馆中厅,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_4,https://www.worldaic.com.cn/exhibitors,2026-07-18
269,参展企业,f7d773bb1ab4422b96175e79c72dd51a,杭州忆参科技有限责任公司,"Hangzhou Yican Technology Co., Ltd",展商,OPC创业项目,"工业互联与智能制造,智能终端",H4-FT O013,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
270,参展企业,34f6ead7e8b74a15992e44eba85fbc88,枭兔科技（深圳）有限公司,XIAOTU,展商,OPC创业项目,核心技术,ZT-006,世博展览馆,世博展览馆中厅,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_4,https://www.worldaic.com.cn/exhibitors,2026-07-18
271,参展企业,5a5f19b6ffdf4991abb731a7f2dc232f,柔远科技（武汉）有限公司,"Rouyuan Technology (Wuhan) Co., Ltd",展商,OPC创业项目,核心技术,H4-FT O007,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
272,参展企业,e71bbdfe2b7f4edab3edac36ad47d857,楠鹏诺瓦（北京）智慧科技有限公司,Nanponova,展商,OPC创业项目,核心技术,ZT-002,世博展览馆,世博展览馆中厅,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_4,https://www.worldaic.com.cn/exhibitors,2026-07-18
273,参展企业,700f8381de81490ebf4619214a58d16f,永安市知行创研网络科技工作室,Yong'an Zhixing Chuangyan Network Technology Studio,展商,OPC创业项目,核心技术,H4-FT O012,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
274,参展企业,2e7f9f5eb2d3497e8c2f66a31635eb12,深圳市恩派尔科技有限公司,"Shenzhen Empire Technology Co., Ltd.",展商,OPC创业项目,智能终端,H4-FT O010,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
275,参展企业,2725b4c0aa524c889dcbb59e81161975,跨机器人厂商的Harness AI群体控制统一操作系统,Cross-Vendor Harness AI Fleet Control Operating System for Robots,展商,OPC创业项目,具身智能,H4-FT O003,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
276,参展企业,f054955898ad469d93f82adf7d57982f,上海西井科技股份有限公司,"Shanghai Westwell Technology Co., Ltd.",展商,参展单位,智能驾驶,H2-A625,世博展览馆,世博展览馆H2,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_2,https://www.worldaic.com.cn/exhibitors,2026-07-18
277,参展企业,2eaa19fb866f4021877bd8a47ea78123,优刻得科技股份有限公司,"UCloud Technology Co.,Ltd",展商,参展单位,核心技术,H1-D1030,世博展览馆,世博展览馆H1,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_1,https://www.worldaic.com.cn/exhibitors,2026-07-18
278,参展企业,7a1665001ddc420fb1c3624245fcba9f,比亚迪电子(国际)有限公司,BYD Electronics (International) Company Limited,展商,参展单位,制造业,H2-C1127,世博展览馆,世博展览馆H2,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_2,https://www.worldaic.com.cn/exhibitors,2026-07-18
279,参展企业,32c17167a3d8404dbf8dcd25d79466e0,特赞（上海）信息科技有限公司,"Tezign（Shanghai）Information And Technology Co.,Ltd.",展商,参展单位,核心技术,H1-C135,世博展览馆,世博展览馆H1,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_1,https://www.worldaic.com.cn/exhibitors,2026-07-18
280,参展企业,b4faff86a34c42c18f07263d5665688c,芯展速科技（北京）有限公司,GENSTORAIGE,"展商,论坛主办方",参展单位,核心技术,Z1A-315,张江科学会堂,张江科学会堂-海科厅,VO_EXHIBITION_HALL_3,VO_EXHIBITOR_BOOTH_LOCATION_8,https://www.worldaic.com.cn/exhibitors,2026-07-18
281,参展企业,439bb3bda25945f3a6963485d02f2c41,范式国际有限公司,Phancy Group,展商,参展单位,核心技术,H1-B820,世博展览馆,世博展览馆H1,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_1,https://www.worldaic.com.cn/exhibitors,2026-07-18
282,参展企业,50647cd170b84bb1bd02338818a8f083,西安中科天塔科技股份有限公司,"CasTianta Tech Co., Ltd",展商,参展单位,核心技术,H4-059,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
283,参展企业,068e7cf07e494ae3bb72fad29a1b79d1,"上海国创驭算人工智能科技有限公司
（暨长三角国家技术创新中心智能计算研究所）","Shanghai Guochuang Yusuan Artificial Intelligence Technology Co., Ltd.","展商,论坛主办方",办会单位,核心技术,R015,世博中心,世博中心,VO_EXHIBITION_HALL_2,VO_EXHIBITOR_BOOTH_LOCATION_6,https://www.worldaic.com.cn/exhibitors,2026-07-18
284,参展企业,3ab65ebbbf1f43678927ccb6b8cbaee7,上海道仑文化传播有限公司,"Shanghai Daolun Cultural Communication Co., LTD","展商,论坛主办方",办会单位,租赁业与商业服务业,X1C-704,西岸国际会展中心,西岸国际会展中心,VO_EXHIBITION_HALL_4,VO_EXHIBITOR_BOOTH_LOCATION_12,https://www.worldaic.com.cn/exhibitors,2026-07-18
285,参展企业,e79032ec660c41479cc31c6a9f2159a0,伊利集团,YILI Group,展商,品牌赞助商,制造业,H1-D118,世博展览馆,世博展览馆H1,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_1,https://www.worldaic.com.cn/exhibitors,2026-07-18
286,参展企业,dcd1cf8b59d74326a238480ab8e55dbe,北京金山办公软件股份有限公司,"Beijing Kingsoft Office Software,Inc.",展商,品牌赞助商,核心技术,H1-C811,世博展览馆,世博展览馆H1,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_1,https://www.worldaic.com.cn/exhibitors,2026-07-18
287,参展企业,dcd1cf8b59d74326a238480ab8e55dbe,北京金山办公软件股份有限公司,"Beijing Kingsoft Office Software,Inc.",展商,品牌赞助商,核心技术,X1A-501-01,西岸国际会展中心,西岸国际会展中心,VO_EXHIBITION_HALL_4,VO_EXHIBITOR_BOOTH_LOCATION_12,https://www.worldaic.com.cn/exhibitors,2026-07-18
288,参展企业,141b72113ed34dffb99103aa8a6d8b59,瑞幸咖啡（中国）有限公司,"Luckin Coffee (China) Co., Ltd",展商,品牌赞助商,住宿和餐饮业,H1-D115,世博展览馆,世博展览馆H1,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_1,https://www.worldaic.com.cn/exhibitors,2026-07-18
289,身份未标注,b27ef447f1404c6bb80314512ac5ab71,,,,,智能终端,X1B-107,西岸国际会展中心,西岸国际会展中心,VO_EXHIBITION_HALL_4,VO_EXHIBITOR_BOOTH_LOCATION_12,https://www.worldaic.com.cn/exhibitors,2026-07-18
290,参展企业,e1f6c05d170e4aeebda5230ad8334ac7, 深圳市道通智能航空技术股份有限公司,"Autel Robotics Co., Ltd.",展商,,制造业,H2-E108,世博展览馆,世博展览馆H2,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_2,https://www.worldaic.com.cn/exhibitors,2026-07-18
291,参展企业,eee9b270da8c4bf49de9a5e34883c74f,《中国企业报》中企视讯,CHINA ENTERPRISE NEWS ,展商,,其他,H1-A135,世博展览馆,世博展览馆H1,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_1,https://www.worldaic.com.cn/exhibitors,2026-07-18
292,参展企业,01a8c5de91c6401898419b8a27f3df7c,360数字安全集团,"360 Digital Security Technology Group Co., Ltd.","展商,论坛主办方",,其他,H4-127,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
293,参展企业,f5a93f15110849a88d4048333b4bdc8c,ABB（上海）机器人投资有限公司,ABB Robotics (Shanghai) Investment Limited,展商,,工业互联与智能制造,H1-A827,世博展览馆,世博展览馆H1,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_1,https://www.worldaic.com.cn/exhibitors,2026-07-18
294,参展企业,afa48ee3cdc546f2af45f8eba3b077ff,AutoDL,AutoDL,展商,,核心技术,H1-C735,世博展览馆,世博展览馆H1,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_1,https://www.worldaic.com.cn/exhibitors,2026-07-18
295,参展企业,923da0af6d8d460a99c3343508d36f38,AVEPOINT SINGAPORE PTE. LTD ,AVEPOINT SINGAPORE PTE. LTD,展商,,核心技术,H4-029,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
296,参展企业,b5ac12c566b145779162e144a5a02fc3,ChatCut Inc.,ChatCut Inc.,展商,,核心技术,H4-FT C052,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
297,参展企业,65dafce13fa0462798912cc8dcdde2b8,Dify,Dify,展商,,核心技术,H4-058,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
298,参展企业,6674302b8929424096eb21590cf4c75d,GMI APAC Limited,GMI APAC Limited,"展商,论坛主办方",,核心技术,H1-B825,世博展览馆,世博展览馆H1,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_1,https://www.worldaic.com.cn/exhibitors,2026-07-18
299,参展企业,2f4357a3bf874eaf8e844fa39ae04fe2,Gray Matter Solutions Pte. Ltd.,Gray Matter Solutions Pte. Ltd.,展商,,智慧医疗,H4-FT C006,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
300,参展企业,d56bc08343594bb1a63611f4956d792d,Odin Health Limited,Odin Health Limited,展商,,智慧医疗,H4-010,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
301,参展企业,573dc5f213a24aae91a010ddc87b3b00,Private Company Growth Vision Pro Ltd.,Khan Tengri Innovation Hub ,展商,,其他,H4-180,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
302,参展企业,bb7477628fe54dc698a8a70ef1caec46,"ZenAI, Inc.","ZenAI, Inc.",展商,,具身智能,H4-FT B203,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
303,参展企业,ac60586b7d8947e48399c5622b6aabd0,万兴科技集团股份有限公司,"Wondershare Technology Group Co., Ltd","展商,论坛主办方",,文娱艺术与元宇宙,X1B-303,西岸国际会展中心,西岸国际会展中心,VO_EXHIBITION_HALL_4,VO_EXHIBITOR_BOOTH_LOCATION_12,https://www.worldaic.com.cn/exhibitors,2026-07-18
304,参展企业,0d6a5838b8b0453b95c324bd2f3a70a1,万境千寻（北京）科技有限公司,	Spirit AI,展商,,具身智能,H3-B119,世博展览馆,世博展览馆H3,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_3,https://www.worldaic.com.cn/exhibitors,2026-07-18
305,参展企业,8534011bc1054f3aaa766326dfade3e1,万拿机器人（北京）有限公司,"TheoHand Robotics (Beijing) Co., Ltd.",展商,,具身智能,H3-E521,世博展览馆,世博展览馆H3,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_3,https://www.worldaic.com.cn/exhibitors,2026-07-18
306,参展企业,15b6fa3684b14176b9f646140e221809,万有引力（宁波）电子科技有限公司,"GravityXR Electronics and Technology Co.,Ltd.",展商,,文娱艺术与元宇宙,Z1A-101,张江科学会堂,张江科学会堂-海科厅,VO_EXHIBITION_HALL_3,VO_EXHIBITOR_BOOTH_LOCATION_8,https://www.worldaic.com.cn/exhibitors,2026-07-18
307,参展企业,0c4778375b6c4dd19b6be30dfa93c77d,万维流形（上海）信息科技有限公司,"Wanwei Liuxing (Shanghai) Information Technology Co., Ltd. ",展商,,核心技术,H4-FT C031,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
308,参展企业,11d82cd493454cfa9f1f2f1b5ed80575,万达信息股份有限公司,"Wonders Information Co., Ltd.",展商,,智慧医疗,H2-D527,世博展览馆,世博展览馆H2,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_2,https://www.worldaic.com.cn/exhibitors,2026-07-18
309,参展企业,b8627f30af9641ca9fdce0c899a93a1c,上海一财万项信息科技有限公司,"Shanghai Yicai Wanxiang Information Technology Co., Ltd.","展商,论坛主办方",,其他,L036,世博中心,世博中心,VO_EXHIBITION_HALL_2,VO_EXHIBITOR_BOOTH_LOCATION_6,https://www.worldaic.com.cn/exhibitors,2026-07-18
310,参展企业,7fa1bd493a424c728485e03d70c8cefc,上海万怡医学科技股份有限公司,"HEALIFE GROUP CO.,LTD.",展商,,智慧医疗,X1B-908,西岸国际会展中心,西岸国际会展中心,VO_EXHIBITION_HALL_4,VO_EXHIBITOR_BOOTH_LOCATION_12,https://www.worldaic.com.cn/exhibitors,2026-07-18
311,参展企业,6443d483f95848b1a4bcf06aade884d5,上海中器无量量子科技有限公司,"Sinoquantum Quantum Technology Co., Ltd.",展商,,核心技术,H2-E818,世博展览馆,世博展览馆H2,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_2,https://www.worldaic.com.cn/exhibitors,2026-07-18
312,参展企业,a60a3161cfed4420b440feb583bd18be,上海丽蟾科技有限公司,"Shanghai Lichan Technology Co., Ltd.‌",展商,,核心技术,L012,世博中心,世博中心,VO_EXHIBITION_HALL_2,VO_EXHIBITOR_BOOTH_LOCATION_6,https://www.worldaic.com.cn/exhibitors,2026-07-18
313,参展企业,d71abeaf9c694ad19a1386921e223014,上海久页信息科技有限公司,www.istv.cn,展商,,核心技术,张江厅Z2A803,张江科学会堂,张江科学会堂-张江厅,VO_EXHIBITION_HALL_3,VO_EXHIBITOR_BOOTH_LOCATION_9,https://www.worldaic.com.cn/exhibitors,2026-07-18
314,参展企业,9bba2c6170d341afbf330f7ecf7cb9ce,上海了得科技有限公司,"Shanghai LD Technology Co., Ltd.",展商,,具身智能,H4-089,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
315,参展企业,a1781ef038f84a1283c339419a781fbc,上海云联智宠科技有限责任公司,shanghaicloudlinkpet,展商,,工业互联与智能制造,H4-FT B013,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
