序号,纳入口径,企业代码,企业中文名,企业英文名,身份,身份代码,合作伙伴等级,合作伙伴代码,服务领域,服务领域代码,行业一级分类,行业一级代码,展位号,展馆,展厅或区域,展位数量,企业中文简介,企业英文简介,Logo URL,展览年份,官方目录 URL,官方 API URL,快照日期
662,论坛主办方（非展商）,4d7abcba78a8432293dfa646efcbbd5f,复旦大学,Fudan University,论坛主办方,WAIC_FORUM_ACCOUNT_DEFAULT,,,教育,VO_ENTERPRISE_SERVICE_DOMAIN_5,人才与教育,VO_INDUSTRY_L1_18,,,,0,"全球人工智能创新治理中心（Center for Global AI Innovative Governance，CGAIG）于2025年7月26日在世界人工智能大会开幕式上正式启动，由复旦大学在上海市的大力支持下筹建成立，是聚焦全球人工智能创新治理的专业化、国际化协同平台。中心依托复旦大学在人工智能全球治理、跨学科研究与国际合作网络等方面的深厚优势，凝聚全球智力资源，推动人工智能治理体系完善与创新发展。
中心秘书处设在复旦大学发展研究院，通过组织国际论坛、专题研讨、联合研究，推动人才培养、青年交流、授课培训、AI4S和成果转化，致力于搭建链接上海、中国和全球的人工智能治理与产学研协同平台，推动治理规则制定和强化治理能力建设，为构建具有广泛共识的全球治理框架、标准规范和相关行动指南贡献力量。","The Center for Global AI Innovative Governance (CGAIG) was officially launched on July 26, 2025, at the opening ceremony of the World AI Conference (WAIC) & High-Level Meeting on Global AI Governance. It was established at Fudan University with strong support from Shanghai municipal government, and serves as an international platform dedicated to research, dialogue, and collaboration on global AI innovative governance. Leveraging Fudan University's strengths in interdisciplinary research and international cooperation networks, CGAIG brings together scholars, policymakers, and industry experts from around the world to advance research and policy innovation in AI governance. The Center's Secretariat is located at the Fudan Development Institute. CGAIG promotes talent development, youth exchanges, professional training, AI for Science (AI4S), and research translation through organizing international forums, thematic seminars, and joint research programs. ",https://downloadprod.worldaic.com.cn/static/4e1ab0df/e73e22c5-b5b8-40b4-9cb4-b81d963e6807_cgaig_logo_final_01.png,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
663,参展企业,ff5cadbc2cc841858523066fe23163f6,大咖机器人（北京）有限公司,DaxAI Robot,展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,,,制造业,VO_ENTERPRISE_SERVICE_DOMAIN_4,具身智能,VO_INDUSTRY_L1_06,H3-C404,世博展览馆,世博展览馆H3,1,2025年5月成立即聚焦生产力具身智能机器人研发与场景落地，主攻泛零售、泛物流、养老等高价值赛道。公司自创立之初就确立具身世界模型 + 通用本体双引擎发展路线，以自研DaxBrain-WM 具身世界模型为核心底座，坚持端侧推理、成本优势突出、投资回报周期短的产品理念，拒绝展示型样机，专注打造能深度替代重复人力、可规模化复制的生产力机器人。目前公司已与全球头部零售企业、物流公司、医药及工业企业达成深度合作，相关产品已在泛零售、泛物流场景实现规模化应用落地。,"Established in May 2025, the company devotes itself to the R&D and commercial rollout of productive embodied intelligent robots, focusing on high-value tracks such as general retail, logistics and elderly care.
Since inception, we have taken a dual-engine technical path combining embodied world models and general robot hardware bodies. Supported by our self-developed DaxBrain-WM embodied world model, all our products abide by three core standards: edge-side intelligent inference, outstanding cost efficiency and short investment payback cycles.
We turn down purely display-oriented prototypes and deliver deployable, easily scalable robotic solutions to greatly replace repetitive manual work. Up to now, we have established deep cooperation with world-leading retailers, logistics firms, pharmaceutical and industrial manufacturers, and our products have achieved large-scale commercial application across general retail and general logistics scenarios.",https://downloadprod.worldaic.com.cn/static/4e1ab0df/0691bf48-7b9c-42d9-8b58-300fb3f9a1d0_DaxAI%20RobotLOGO-PNG.png,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
664,参展企业,eacf45ff985143d684c440a6b21344f9,大寰机器人科技股份有限公司,"DH-Robotics Technology Co., Ltd.",展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,,,其他,VO_ENTERPRISE_SERVICE_DOMAIN_OTHER,具身智能,VO_INDUSTRY_L1_06,H3-B112,世博展览馆,世博展览馆H3,1,"大寰机器人（DH-ROBOTICS）成立于2016年，是一家专注于为工业智能制造场景提供核心零部件的高科技企业。
大寰机器人拥有电动夹爪、灵巧手、音圈执行器、伺服电缸、iFM智能柔性运动系统、接触式位移传感器、伺服驱动器等面向工业自动化与具身智能的产品系列;基于自主研发的精密力控技术，填补了国内精密制造的空白，为客户提供一体化的智能制造抓取与精密力控解决方案。
凭借在智能制造领域的创新优势和一流的技术实力，大寰机器人成为电动末端执行器领域唯一一家，获得国家级专精特新重点“小巨人”企业称号的公司。","DH-Robotics is a high-tech company which is dedicated on providing core components of precision and motion controls for industrial intelligent manufacturing scenarios.
DH-Robotics provides a full range of solutions for industrial automation and embodied intelligence, including electric grippers, dexterous hands, linear coil actuators, servo electric cylinders, iFM intelligent flexible motion systems, and servo drives. With proprietary high-precision force control technology, we enable reliable grasping and precise force control for advanced manufacturing.",https://downloadprod.worldaic.com.cn/static/4e1ab0df/2e759c57-2090-4650-a578-5bf5395cf9fe_%E5%A4%A7%E5%AF%B0%E6%9C%BA%E5%99%A8%E4%BA%BA%20logo-%E6%96%B0-05.png,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
665,参展企业,68f43be9a1e447fe83fb2ba428e2c562,大连博涛文化科技集团股份有限公司,"Dalian Betop Culture and Technology Group Stock Co., Ltd.",展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,,,"制造业,租赁业与商业服务业,文化、体育和娱乐业","VO_ENTERPRISE_SERVICE_DOMAIN_4,VO_ENTERPRISE_SERVICE_DOMAIN_7,VO_ENTERPRISE_SERVICE_DOMAIN_14",文娱艺术与元宇宙,VO_INDUSTRY_L1_11,X1C-901 | H2-E524,西岸国际会展中心 | 世博展览馆,西岸国际会展中心 | 世博展览馆H2,2,"博涛科技成立于2005年，总部位于大连，提供专业的EPCO文商旅全流程解决方案，是中国高科技文旅行业领军企业。以“为城市创造神奇亮点”为使命，创立神兽街模式文旅商融合新赛道；2025年推出的巨神AI超级智能体“熊北北”标志着其科技+艺术的实践进入新阶段，实现了从“仿生装置”到“智能生命体”的跨越，也为AI真正融入文旅商场景提供了可持续运营的解决方案。
博涛科技以尖叫美学为指导，以创意设计和创新研发为核心优势，形成了高科技文旅装备研发生产、景区乐园规划设计、数字内容开发、文商旅综合体投资建设运营四大核心业务板块。目前博涛科技已在全国百余座城市参与策划和落地了2000多个高科技文旅项目，40多个运营托管项目，为多地成功打造城市IP和文商旅地标，赢得央媒党媒、各大卫视和海内外媒体的广泛报道。荣获了文旅部首批技术创新中心、东北地区唯一全国成长性文化企业3 0强，国际科技合作基地，现代服务业创新发展示范企业、国家文化与科技融合示范基地和国家文化出口重点企业等多项国家级荣誉，拥有自主知识产权 150余项。","Betop, a leading creative technology company headquartered in Dalian with branches in Tokyo and Macau, is originated from the Multimedia Research Center at DUT. We focused on IP R&D and high-tech cultural equipment for cultural, commercial, and tourism projects.
Guided by the ""Art of WOW,"" Betop’s core strengths lie in designing, manufacturing and operating. Based on needs of government, scenic areas, investors, markets, and tourists, our core business sectors are composed by high-tech cultural tourism equipment, theme park and scenic area design, digital content making and commercial tourism complexes developing.",https://downloadprod.worldaic.com.cn/static/4e1ab0df/827b73b5-079d-4da8-a916-044229dfd03e_%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20260608125747_1_16.png,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
666,论坛主办方（非展商）,a7fe42627ec348eaa6a184999f170ee4,天下经合数字科技（北京）有限公司,"Tianxia Jinghe Digital Technology (Beijing) Co., Ltd.",论坛主办方,WAIC_FORUM_ACCOUNT_DEFAULT,,,信息传输、软件和信息技术服务业,VO_ENTERPRISE_SERVICE_DOMAIN_1,工业互联与智能制造,VO_INDUSTRY_L1_02,,,,0,天下经合数字科技（北京）有限公司是中国工业合作协会的下设公司，具体承办了APEC中小企业部长会、APEC中小企业数字经济发展大会、中国中小企业国际博览会-中小企业数字经济分论坛、APEC中小企业数字化指数报告发布会、中小企业数字化转型案例发布会、数据要素创新发展大会、新一代信息技术应用发展大会、人工智能产业创新发展大会等活动。具有丰富的国际国内会议举办经验。公司现有员工20人，员工拥有服务2014年北京APEC领导人非正式会议和2016年杭州G20峰会的策划、执行、接待经验，均来自中青旅展览、新华顺航展览、赛迪会展等知名展览会议公司，具有一流的国际国内会议服务能力。,"Tianxia Jinghe  Digital Technology (Beijing) Co., Ltd. is a subsidiary of the China Association for Industrial Cooperation. It has specifically hosted events such as the APEC SME Ministerial Meeting, the APEC SME Digital Economy Development Conference, the China SME International Expo SME Digital Economy Sub Forum, the APEC SME Digital Index Report Conference, the SME Digital Transformation Case Conference, the Data Element Innovation and Development Conference, the New Generation Information Technology Application Development Conference, and the Artificial Intelligence Industry Innovation and Development Conference. Has rich experience in organizing international and domestic conferences. The company currently has 20 employees who have experience in planning, executing, and hosting the 2014 Beijing APEC Leaders' Informal Meeting and the 2016 Hangzhou G20 Summit. All employees come from well-known exhibition and conference companies possessing top-tier capabilities in serving events.",https://downloadprod.worldaic.com.cn/static/aliHistory/businessdata/2026/03/18/SP00000049/918e1f26-83ff-45c3-b898-f641d98e835f_%E5%A4%A9%E4%B8%8B%E7%BB%8F%E5%90%88logo%20%282%29.png,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
667,参展企业,ff77ac4038b9451daa53047c9e820fa3,天津智易时代科技发展有限公司,"Tianjin Zwinsoft Technology Co., Ltd ",展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,,,"制造业,信息传输、软件和信息技术服务业","VO_ENTERPRISE_SERVICE_DOMAIN_4,VO_ENTERPRISE_SERVICE_DOMAIN_1",具身智能,VO_INDUSTRY_L1_06,H1-A303,世博展览馆,世博展览馆H1,1,"天津智易时代科技发展有限公司由南开大学机器人研究所博士于2013年创立，先后取得国家高新技术企业、国家科技型企业、天津市专精特新小巨人企业、软件企业、AAA信用等级等多项认证。
公司构建“技术研发-生产制造-市场销售-运维服务”产品全生命周期体系，为行业提供从技术落地到场景赋能的一站式人工智能机器人解决方案以南开大学为技术的研发支撑公司与清华大学、南开大学、天津大学、天津农学院、中科院等高校及科研院所紧密合作，提高人工智能技术高精专水平。
公司围绕人工智能领域发展机遇，构建“国内深耕+海外拓展”的双市场格局，形成覆盖多场景的人工智能解决方案服务网络，目前已服务全国多地智能化项目。在海外市场，公司组建专业国际化团队，为东南亚、中东、非洲及部分欧美国家智能化转型、提供技术支撑，逐步在国际人工智能领域建立起品牌影响力。","Tianjin Zwinsoft Technology Co., Ltd . was founded in 2013 by a PhD graduate from the Robotics Institute of Nankai University. The company has since obtained multiple certifications, including National High-Tech Enterprise, National Technology-Based Enterprise, Tianjin ""Specialized, Refined, Distinctive, and Innovative"" Little Giant Enterprise, Software Enterprise, and AAA Credit Rating.
The company has established a full product lifecycle system covering ""technology R&D – manufacturing – market sales – operation and maintenance services"", providing a one-stop AI robotics solution from technology implementation to scenario empowerment. Backed by Nankai University for technological R&D, the company collaborates closely with universities and research institutions such as Tsinghua University, Nankai University, Tianjin University, Tianjin Agricultural University, and the Chinese Academy of Sciences to continuously enhance the sophistication and expertise of artificial intelligence technol",https://downloadprod.worldaic.com.cn/static/4e1ab0df/8fab8bac-b0de-4578-bff5-2bd91e8d7ab9_%E6%9C%AA%E6%A0%87%E9%A2%98-1_%E7%94%BB%E6%9D%BF%201.png,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
668,参展企业,5a7a564f8aca4bbf8ade04d47ee272cb,奇异摩尔（上海）半导体技术有限公司,"Kiwimoore (Shanghai) Semiconductor Co., Ltd.","展商,论坛主办方","WAIC_EXHIBITOR_ACCOUNT_DEFAULT,WAIC_FORUM_ACCOUNT_DEFAULT",,,信息传输、软件和信息技术服务业,VO_ENTERPRISE_SERVICE_DOMAIN_1,核心技术,VO_INDUSTRY_L1_01,Z1B-515,张江科学会堂,张江科学会堂-海科厅,1,"奇异摩尔，成立于2021年初，是一家行业领先的AI网络全栈式互联产品及解决方案提供商。公司依托于先进的高性能RDMA 和Chiplet技术，创新性地构建了统一互联架构——Kiwi Fabric，专为超大规模AI计算平台量身打造，以满足其对高性能互联的严苛需求。
我们的产品线丰富而全面，涵盖了面向不同层次互联需求的关键产品，如面向北向Scale Out网络的AI原生超级网卡、面向南向Scale Up网络的GPU超节点互联芯粒、以及面向芯片内算力扩展的UCIe Die-to-Die IP等。这些产品共同构成了全链路互联解决方案，为AI计算提供了坚实的支撑。
核心团队汇聚了来自全球半导体行业巨头如NXP、Intel、Broadcom等公司的精英，他们凭借丰富的AI互联产品研发和管理经验，推动技术创新和业务发展。团队拥有超过50个高性能网络及Chiplet量产项目的经验，为公司的产品和服务提供了强有力的技术保障。","About Kiwimoore
Founded in 2021 , Kiwimoore specializes in AI networking full-stack connectivity products and solutions. The company leverages high-performance RDMA and Chiplet technologies to develop a unified interconnected architecture Kiwi Fabric, to meet the high-performance requirements of ultra-large-scale AI computing platforms.  Kiwimoore’s products cover Kiwi SNIC, Kiwi G2G IOD dielets,  and UCIe Die2Die IP for scaling chip computing power, forming a full-chain connectivity solutions.

Kiwimoore is dedicated to support customers to build a more efficient and cost-effective next gen computing system.
Kiwimoore, drived by cutting edge technology and innovation , is committed to build an open source semi ecosystem and lay a solid foundation for high performance AI computing.",https://downloadprod.worldaic.com.cn/static/aliHistory/businessdata/2026/03/23/bebfd2ecab9740dd8560f47551010a16/187c2924-5b76-4fae-81a2-fda77a881e28_%E6%A0%87%E5%87%86LOGO.png,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
669,参展企业,6b4ef1d4890e452f9579eb9477ee673f,奇绩创坛（北京）投资管理有限责任公司,MiraclePlus (Beijing) Investment Management Company Limited,展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,,,金融,VO_ENTERPRISE_SERVICE_DOMAIN_2,投资机构,VO_INDUSTRY_L1_25,H4-FT B204,世博展览馆,世博展览馆H4,1,奇绩创坛成立于 2019 年，由陆奇博士创立。陆奇博士曾任百度总裁兼首席运营官、微软全球执行副总裁和雅虎执行副总裁。奇绩创坛的使命是在源头最大化地驱动创新，核心产品是奇绩创业营，通过先投资、再加速的模式帮助早期创业者解决两大核心问题：“产品市场匹配”和“更久地活下去”。每年春秋两季，入营项目 100% 获得奇绩投资，奇绩合伙人团队全身心投入三个月，手把手加速每个企业，并通过举办路演日帮助项目获取下一轮融资。,"MiraclePlus was founded in 2019 by Lu Qi. Lu earned his Ph.D. in Computer Science from Carnegie Mellon University and previously served as President and Chief Operating Officer of Baidu Group, Executive Vice President of Microsoft, and Executive Vice President of Yahoo. MiraclePlus's mission is to maximize the driving of innovation at its source. Its core offering is the MiraclePlus Batch, which follows an ""invest first, then accelerate"" model to help early-stage founders solve two core problems: achieving ""product-market fit"" and ""staying alive longer."" Each spring and fall, every team admitted to the program receives MiraclePlus investment. The partner team commits fully for three months, working hands-on to accelerate each company, and hosts a Demo Day to help teams secure their next round of funding.",,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
670,参展企业,d729e583c6c24cfaad61393708e86b90,奕行智能（北京）科技有限公司,"EVAS Intelligence Co., Ltd.",展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,,,信息传输、软件和信息技术服务业,VO_ENTERPRISE_SERVICE_DOMAIN_1,制造业,VO_INDUSTRY_L1_03,Z1B-510,张江科学会堂,张江科学会堂-海科厅,1,"奕行智能，国内RISC-V（第五代精简指令集）云端AI大算力芯片及计算平台领域的领导者，AI芯片独角兽公司、国家高新技术企业。奕行智能专注于全栈自研的RISC-V AI计算芯片及计算平台解决方案，形成覆盖芯片、计算模组、整机及大规模系统化产品的布局，目前已实现规模化量产。

Epoch是奕行智能自主研发的云端高性能AI芯片，完全基于RISC-V开放架构，是国内首颗大规模量产、用于数据中心的RISC-V云端AI大算力芯片，填补了国内RISC-V架构在高性能AI计算领域的空白。公司深耕“RISC-V开源指令集+类TPU架构+Tile级虚拟指令集”差异化技术路线，专为大模型和深度学习工作负载深度优化，兼顾AI计算的通用性、专用高效性与易编程性，构建了独特的技术竞争壁垒，持续推动国产AI计算基础设施向高性能、高效率、高自主可控方向演进。","EVAS Intelligence, a Chinese AI chip unicorn and National High-tech Enterprise, is a domestic leader in high-performance RISC-V cloud AI chips. We provide fully self-developed full-stack RISC-V computing chip solutions that span chips, modules, servers and large-scale system products, all available for mass production.

Our independently developed Epoch chip is China’s first mass-produced RISC-V AI accelerator tailored for data centers, filling the domestic void in high-performance RISC-V AI computing. We adopt a differentiated technical stack consisting of open-source RISC-V instruction set, TPU-like architecture and tile-level virtual instruction set. Our hardware is deeply optimized for LLM and deep learning workloads, balancing versatility, operational efficiency and programmability. This creates robust technical advantages and fuels the development of self-reliant domestic AI computing infrastructure.",https://downloadprod.worldaic.com.cn/static/4e1ab0df/ec778db3-92c2-45c2-bd9a-3062b96ac75f_%E5%A5%95%E8%A1%8C%E6%99%BA%E8%83%BD%E5%85%AC%E5%8F%B8logo-%E9%80%8F%E6%98%8Epng.png,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
671,参展企业,5ef6ffe9c928417a8d438114eedb9312,如你所视（北京）科技有限公司,"Realsee (Beijing) Technology Co.,Ltd.",展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,,,"信息传输、软件和信息技术服务业,城市治理,制造业,教育,交通运输、仓储和邮政业,租赁业与商业服务业,住宿和餐饮业,采矿业,电力、热力、燃气及水生产和供应业,房地产业,政府,院校,水利、环境和公共设施管理业,文化、体育和娱乐业","VO_ENTERPRISE_SERVICE_DOMAIN_1,VO_ENTERPRISE_SERVICE_DOMAIN_3,VO_ENTERPRISE_SERVICE_DOMAIN_4,VO_ENTERPRISE_SERVICE_DOMAIN_5,VO_ENTERPRISE_SERVICE_DOMAIN_6,VO_ENTERPRISE_SERVICE_DOMAIN_7,VO_ENTERPRISE_SERVICE_DOMAIN_8,VO_ENTERPRISE_SERVICE_DOMAIN_11,VO_ENTERPRISE_SERVICE_DOMAIN_12,VO_ENTERPRISE_SERVICE_DOMAIN_16,VO_ENTERPRISE_SERVICE_DOMAIN_17,VO_ENTERPRISE_SERVICE_DOMAIN_19,VO_ENTERPRISE_SERVICE_DOMAIN_13,VO_ENTERPRISE_SERVICE_DOMAIN_14",工业互联与智能制造,VO_INDUSTRY_L1_02,H4-037,世博展览馆,世博展览馆H4,1,"如视，全球领先的空间智能服务商。作为数字空间领域的先行者，如视致力于通过AI、VR及空间智能技术，结合在三维重建领域的大规模落地实践优势，为企业的空间运维、线上营销、数字化管理等提供专业解决方案，助力其高效实现空间数字化与智能化升级。
近年来，如视已在商业零售、工业设施、文博会展等多个核心领域广泛落地，服务范围遍及70个国家，覆盖5000多个品牌，稳步迈向空间智能领军企业。","Realsee is a global leader in spatial intelligence and a pioneer of digital space technologies. Combining AI, VR and spatial intelligence with mature, large-scale 3D reconstruction capabilities, Realsee delivers professional solutions for spatial operation, online marketing and digital management, enabling enterprises to accelerate spatial digital and intelligent transformation.

Widely deployed in commercial retail, industrial infrastructure, cultural exhibition and other key sectors, Realsee serves more than 5,000 brands across 70 countries, steadily solidifying its leading position in global spatial intelligence.",https://downloadprod.worldaic.com.cn/static/4e1ab0df/34fa42f8-5f3b-427a-b4c8-bdef7a0bc2cf_%E5%A6%82%E8%A7%86logo_800x800.png,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
672,参展企业,5c0669b6181a403f9c98b7e02f7b4b0f,威尔创新（天津）科技发展有限公司,"TigerWay Innovation (Tianjin) Technology Development Co., Ltd.",展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,,,"信息传输、软件和信息技术服务业,院校,制造业,教育","VO_ENTERPRISE_SERVICE_DOMAIN_1,VO_ENTERPRISE_SERVICE_DOMAIN_19,VO_ENTERPRISE_SERVICE_DOMAIN_4,VO_ENTERPRISE_SERVICE_DOMAIN_5",核心技术,VO_INDUSTRY_L1_01,Z2A-307,张江科学会堂,张江科学会堂-张江厅,1,威尔创新(TIGERWAY)是一家深耕服务器研发制造的高新技术企业，聚焦AI 算力服务器与液冷散热技术，提供ODM/OEM 定制及行业解决方案，覆盖研发、检测、品控、仓储物流及售后全体系，凭借领先研发设计、成熟供应生产系统与快速响应能力，践行“服务创新，智领未来”的使命，助力各行业数字化、智能化转型。,"TIGERWAY is a high-tech enterprise specializing in the research, development, and manufacturing of servers, focusing on AI computing servers and liquid cooling technology. The company offers ODM/OEM customization and industry-specific solutions, covering the entire ecosystem from R&D and testing to quality control, warehousing, logistics, and after-sales service. With leading-edge design capabilities, a mature supply and production system, and rapid response efficiency, TIGERWAY fulfills its mission of ""Innovative Service, Smart Future,"" empowering digital and intelligent transformation across various industries.",https://downloadprod.worldaic.com.cn/static/4e1ab0df/b5d38d29-f495-4513-8224-684a45962ce2_TIGERWAY%E5%8E%9F%E8%89%B2%E4%B8%AD%E8%8B%B1%E6%96%871%EF%BC%88%E6%AD%A3%E6%96%B9%EF%BC%89-01.png,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
673,参展企业,ca5d0b930adf4366866f15b266af9c8f,威胜信息技术股份有限公司,Willfar Information Technology Co. Ltd.,展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,,,"电力、热力、燃气及水生产和供应业,信息传输、软件和信息技术服务业,制造业","VO_ENTERPRISE_SERVICE_DOMAIN_12,VO_ENTERPRISE_SERVICE_DOMAIN_1,VO_ENTERPRISE_SERVICE_DOMAIN_4","核心技术,制造业","VO_INDUSTRY_L1_01,VO_INDUSTRY_L1_03",H2-E518,世博展览馆,世博展览馆H2,1,威胜信息技术股份有限公司（以下简称“威胜信息”）成立于2004年，是国内最早专业从事能源物联网的企业之一。2020年1月21日在上海证券交易所科创板成功挂牌上市，是湖南省首家科创板上市企业。公司以“物联世界，芯连未来”为发展战略，面向数字电网与数智城市，致力于能源数字化技术与服务，提供能源物联网综合解决方案，支持城市、农村、园区、企业、建筑、电网、水务、水利、消防等场景的能源高效管理，构建可感可观、可测可控的数字能源体系，以智慧能源与数据互联，帮助客户实现能源的高效利用和城市低碳零碳发展。公司主要产品和解决方案包括电监测终端、水气热传感终端、通信网关、通信模块、智慧公用事业管理系统和物联网综合应用解决方案，累积连接国内1亿物联网用户数及海外1000万用户，在主要客户国家电网及南方电网中标总额名列前茅。,"Willfar Information Technology Co., Ltd., founded in 2004, is one of the earliest enterprises in China specializing in the Internet of Things (IoT) for energy. On January 21, 2020, it was successfully listed on the Science and Technology Innovation Board of the Shanghai Stock Exchange, becoming the first enterprise in Hunan Province to be listed on the STAR Market. Adopting the development strategy of ""IoT World, Connected Future"", the company is dedicated to energy digitalization technology and services, targeting digital power grids and smart cities. It provides comprehensive IoT solutions for energy, with its main products and solutions encompassing electricity monitoring terminals, water and gas heat sensing terminals, communication gateways, communication modules, smart utility management systems, and comprehensive IoT application solutions.",https://downloadprod.worldaic.com.cn/static/4e1ab0df/dce05e6b-a7f9-4630-8398-7a82f55d671b_%E4%BF%A1%E6%81%AFlogoPNG.png,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
674,参展企业,618735338ae7452399f466b6c27c7583,宁波中大力德智能传动股份有限公司,"NINGBO ZHONGDA LEADER INTELLIGENT TRANSMISSION CO.,LTD.",展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,,,"制造业,农、林、牧、渔业,电力、热力、燃气及水生产和供应业,交通运输、仓储和邮政业,采矿业,批发和零售业","VO_ENTERPRISE_SERVICE_DOMAIN_4,VO_ENTERPRISE_SERVICE_DOMAIN_10,VO_ENTERPRISE_SERVICE_DOMAIN_12,VO_ENTERPRISE_SERVICE_DOMAIN_6,VO_ENTERPRISE_SERVICE_DOMAIN_11,VO_ENTERPRISE_SERVICE_DOMAIN_15",制造业,VO_INDUSTRY_L1_03,H3-E401,世博展览馆,世博展览馆H3,1,"宁波中大力德智能传动股份有限公司始创于1998年，是一家集电机驱动、微特电机、精密减速器、机器人结构本体及一体化智能执行单元的研发、制造、销售、服务于一体的国家高新技术企业。公司注册资本15117万元，分、子公司9家，员工1800余人，2017年8月在深交所主板上市，股票代码：002896。
公司系国家级高新技术企业，主导和参与起草国家标准12项，行业标准5项；授权专利107项，其中发明专利14项。拥有机械工业精密齿轮减速电机工程研究中心、浙江省级高新技术企业研究开发中心、浙江省级企业技术中心。
公司立足于智能化、自动化装备核心零部件设计和制造，为客户提供智能驱动解决方案。公司产品以其差异化和高性价比优势，广泛应用于工作母机、数控设备、工业机器人、智能物流、新能源、食品、包装、纺织、电子、医疗、通讯、农牧等机械装备领域。在替代进口产品的基础上，逐步参与国际竞争。","Founded in 1998, Ningbo Zhongda Leader Intelligent Transmission Co., Ltd. is a national high-tech enterprise. We develop and produce motor drives, micro motors, precision reducers and robot components.
With 151.17 million yuan registered capital, 9 affiliates and 1,800 staff, we went public on Shenzhen Stock Exchange in 2017 (Stock Code: 002896). We have set 17 standards and own 107 patents.
We supply reliable drive solutions. Our products apply to robots, logistics, new energy, medical and other fields, replacing imports and competing worldwide.",https://downloadprod.worldaic.com.cn/static/4e1ab0df/f91466c7-114a-4268-89f6-7ca62622eddd_%E4%B8%AD%E5%A4%A7%E5%8A%9B%E5%BE%B7LOG.png,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
